playerName,top,left,date,qtr,timeRemaining,result,shotType,distanceFt,lead,teamScore,opponentTeamScore,opponent,team,season,playerId
DeMar DeRozan,68,215,"Dec 23,2020",1st Qtr,6:25,false,2-pointer,3,false,15,22,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,64,244,"Dec 23,2020",1st Qtr,5:37,true,2-pointer,1,false,17,24,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,153,249,"Dec 23,2020",1st Qtr,2:29,false,2-pointer,10,false,25,30,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,67,228,"Dec 23,2020",1st Qtr,0:00,false,2-pointer,2,false,30,33,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,137,192,"Dec 23,2020",2nd Qtr,0:00,true,2-pointer,10,true,66,53,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,78,221,"Dec 23,2020",3rd Qtr,10:08,false,2-pointer,3,true,70,59,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,77,249,"Dec 23,2020",3rd Qtr,9:41,false,2-pointer,3,true,70,59,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,61,247,"Dec 23,2020",3rd Qtr,6:20,true,2-pointer,1,true,80,70,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,62,222,"Dec 23,2020",3rd Qtr,5:42,true,2-pointer,2,true,85,71,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,179,291,"Dec 23,2020",3rd Qtr,4:44,false,2-pointer,14,true,85,75,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,83,170,"Dec 23,2020",3rd Qtr,3:01,false,2-pointer,8,true,90,79,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,73,249,"Dec 23,2020",3rd Qtr,2:08,true,2-pointer,2,true,94,81,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,115,171,"Dec 23,2020",4th Qtr,6:52,true,2-pointer,9,true,109,96,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,54,236,"Dec 23,2020",4th Qtr,5:15,true,2-pointer,0,true,114,101,MEM,SAS at MEM,2021,derozde01
DeMar DeRozan,103,480,"Dec 26,2020",1st Qtr,9:27,true,3-pointer,25,false,5,7,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,126,283,"Dec 26,2020",1st Qtr,7:19,true,2-pointer,9,false,9,17,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,63,222,"Dec 26,2020",1st Qtr,6:04,true,2-pointer,2,false,14,21,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,68,140,"Dec 26,2020",1st Qtr,3:22,true,2-pointer,10,false,23,28,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,138,191,"Dec 26,2020",1st Qtr,1:53,false,2-pointer,10,false,26,32,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,281,293,"Dec 26,2020",1st Qtr,0:53,true,2-pointer,23,false,28,35,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,38,220,"Dec 26,2020",1st Qtr,0:32,true,2-pointer,2,false,30,37,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,85,234,"Dec 26,2020",3rd Qtr,1:17,false,2-pointer,3,true,86,85,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,175,347,"Dec 26,2020",4th Qtr,11:24,false,2-pointer,16,true,91,86,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,59,252,"Dec 26,2020",4th Qtr,10:18,false,2-pointer,1,true,96,92,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,300,343,"Dec 26,2020",4th Qtr,9:51,false,3-pointer,27,true,96,92,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,184,32,"Dec 26,2020",4th Qtr,4:32,true,3-pointer,25,false,106,106,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,73,262,"Dec 26,2020",4th Qtr,4:04,false,2-pointer,3,false,106,109,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,39,109,"Dec 26,2020",4th Qtr,4:01,true,2-pointer,13,false,108,109,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,56,137,"Dec 26,2020",4th Qtr,3:21,true,2-pointer,10,false,110,111,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,63,203,"Dec 26,2020",4th Qtr,1:44,false,2-pointer,4,false,110,114,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,297,287,"Dec 26,2020",4th Qtr,1:07,true,3-pointer,25,false,113,114,TOR,SAS vs TOR,2021,derozde01
DeMar DeRozan,36,7,"Dec 27,2020",1st Qtr,8:21,false,3-pointer,23,true,8,7,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,121,345,"Dec 27,2020",1st Qtr,5:44,false,2-pointer,13,false,10,12,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,54,223,"Dec 27,2020",1st Qtr,5:07,false,2-pointer,2,false,12,12,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,238,403,"Dec 27,2020",2nd Qtr,7:19,false,3-pointer,25,true,29,23,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,249,278,"Dec 27,2020",2nd Qtr,4:18,true,2-pointer,20,false,34,34,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,57,217,"Dec 27,2020",2nd Qtr,1:53,true,2-pointer,2,false,39,43,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,309,218,"Dec 27,2020",2nd Qtr,0:01,false,3-pointer,26,false,45,47,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,57,215,"Dec 27,2020",3rd Qtr,3:37,false,2-pointer,3,false,60,74,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,100,247,"Dec 27,2020",4th Qtr,4:48,true,2-pointer,5,false,89,90,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,152,310,"Dec 27,2020",4th Qtr,3:49,false,2-pointer,12,true,91,90,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,151,249,"Dec 27,2020",4th Qtr,1:26,false,2-pointer,10,false,93,97,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,303,348,"Dec 27,2020",4th Qtr,0:01,false,3-pointer,27,false,95,98,NOP,SAS at NOP,2021,derozde01
DeMar DeRozan,154,385,"Dec 30,2020",1st Qtr,11:34,false,2-pointer,18,false,0,0,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,182,312,"Dec 30,2020",1st Qtr,10:49,true,2-pointer,15,true,4,0,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,193,170,"Dec 30,2020",1st Qtr,8:02,false,2-pointer,16,false,9,9,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,71,242,"Dec 30,2020",1st Qtr,3:59,true,2-pointer,2,false,19,24,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,58,247,"Dec 30,2020",2nd Qtr,5:42,true,2-pointer,1,false,39,46,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,59,247,"Dec 30,2020",2nd Qtr,4:03,false,2-pointer,1,false,41,50,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,64,248,"Dec 30,2020",2nd Qtr,2:50,true,2-pointer,1,false,45,54,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,56,236,"Dec 30,2020",2nd Qtr,1:00,true,2-pointer,1,false,47,58,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,149,142,"Dec 30,2020",3rd Qtr,10:47,false,2-pointer,14,false,55,65,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,200,244,"Dec 30,2020",3rd Qtr,9:09,false,2-pointer,15,false,57,68,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,103,140,"Dec 30,2020",3rd Qtr,5:21,true,2-pointer,11,false,69,80,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,287,138,"Dec 30,2020",4th Qtr,3:11,true,3-pointer,26,false,104,112,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,158,244,"Jan 1,2021",1st Qtr,7:41,false,2-pointer,11,false,8,10,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,185,10,"Jan 1,2021",1st Qtr,7:14,true,3-pointer,27,true,14,10,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,236,51,"Jan 1,2021",1st Qtr,6:58,false,3-pointer,26,true,14,13,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,162,183,"Jan 1,2021",1st Qtr,0:20,true,2-pointer,12,true,31,25,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,315,335,"Jan 1,2021",2nd Qtr,11:20,true,3-pointer,28,true,34,27,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,118,210,"Jan 1,2021",2nd Qtr,9:26,false,2-pointer,7,true,36,34,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,116,175,"Jan 1,2021",2nd Qtr,2:35,false,2-pointer,9,false,50,51,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,59,208,"Jan 1,2021",3rd Qtr,11:09,false,2-pointer,3,false,57,62,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,142,278,"Jan 1,2021",3rd Qtr,8:31,true,2-pointer,10,false,67,68,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,252,62,"Jan 1,2021",3rd Qtr,7:29,true,3-pointer,27,false,70,70,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,218,190,"Jan 1,2021",3rd Qtr,6:11,false,2-pointer,17,true,73,70,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,193,357,"Jan 1,2021",3rd Qtr,3:01,true,2-pointer,18,true,80,79,LAL,SAS vs LAL,2021,derozde01
DeMar DeRozan,185,169,"Jan 1,2021",3rd Qtr,0:37,true,2-pointer,15,true,85,81,LAL,SAS vs LAL,2021,derozde01
