ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player-additional
1,Precious Achiuwa,C,25,NYK,3,0,12,3,6,.500,0,0,,3,6,.500,.500,0,1,.000,1,2,3,0,0,0,0,1,6,achiupr01
2,Steven Adams,C,31,HOU,7,0,155,12,20,.600,0,0,,12,20,.600,.600,16,30,.533,23,23,46,4,3,8,5,7,40,adamsst01
3,Bam Adebayo,C,27,MIA,4,4,153,28,64,.438,7,21,.333,21,43,.488,.492,7,11,.636,16,28,44,17,4,1,12,9,70,adebaba01
4,Santi Aldama,PF,24,MEM,4,1,122,21,44,.477,10,24,.417,11,20,.550,.591,0,0,,2,22,24,7,0,1,5,7,52,aldamsa01
5,Nickeil Alexander-Walker,SG,26,MIN,9,0,175,21,59,.356,10,33,.303,11,26,.423,.441,11,12,.917,2,12,14,20,4,3,14,14,63,alexani01
6,Jarrett Allen,C,26,CLE,8,8,231,40,55,.727,0,0,,40,55,.727,.727,32,33,.970,20,52,72,12,12,8,15,14,112,allenja01
7,Kyle Anderson,SF,31,MIA,2,0,14,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,1,0,0,1,1,0,anderky01
8,Giannis Antetokounmpo,PF,30,MIL,5,5,188,60,99,.606,1,5,.200,59,94,.628,.611,44,63,.698,19,58,77,33,5,5,23,12,165,antetgi01
9,Cole Anthony,PG,24,ORL,5,0,51,4,14,.286,0,6,.000,4,8,.500,.286,3,4,.750,3,4,7,6,0,1,9,12,11,anthoco01
10,OG Anunoby,PF,27,NYK,10,10,407,57,134,.425,24,62,.387,33,72,.458,.515,22,25,.880,13,30,43,11,20,9,17,26,160,anunoog01
11,Marvin Bagley III,PF,25,MEM,2,0,28,8,9,.889,1,1,1.000,7,8,.875,.944,0,0,,2,4,6,0,2,1,3,3,17,baglema01
12,Paolo Banchero,PF,22,ORL,5,5,197,54,124,.435,12,27,.444,42,97,.433,.484,27,41,.659,12,30,42,21,3,4,15,18,147,banchpa01
13,Desmond Bane,SG,26,MEM,4,4,139,20,63,.317,7,32,.219,13,31,.419,.373,14,15,.933,5,22,27,13,3,2,15,9,61,banede01
14,Nicolas Batum,PF,36,LAC,7,0,172,13,33,.394,13,33,.394,0,0,,.591,0,0,,4,23,27,14,6,12,3,13,39,batumni01
15,Malik Beasley,SG,28,DET,6,0,163,28,75,.373,20,59,.339,8,16,.500,.507,8,8,1.000,1,14,15,7,3,1,7,10,84,beaslma01
16,Goga Bitadze,C,25,ORL,3,0,11,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,3,3,1,0,1,0,6,2,bitadgo01
17,Anthony Black,PG,21,ORL,5,0,89,15,37,.405,2,13,.154,13,24,.542,.432,9,13,.692,10,12,22,0,4,1,2,8,41,blackan01
18,Bogdan Bogdanović,SG,32,LAC,7,0,117,16,44,.364,7,24,.292,9,20,.450,.443,6,7,.857,5,15,20,15,3,0,11,25,45,bogdabo01
19,Tony Bradley,C,27,IND,4,0,16,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,4,6,2,0,0,0,0,0,bradlto01
20,Christian Braun,SG,23,DEN,11,11,429,49,108,.454,14,48,.292,35,60,.583,.519,15,23,.652,20,48,68,23,12,7,9,37,127,braunch01
21,Mikal Bridges,SF,28,NYK,10,10,408,66,146,.452,16,55,.291,50,91,.549,.507,6,7,.857,9,44,53,28,21,10,19,20,154,bridgmi01
22,Dillon Brooks,SF,29,HOU,7,7,206,28,63,.444,10,29,.345,18,34,.529,.524,20,24,.833,9,13,22,9,5,2,9,27,86,brookdi01
23,Jaylen Brown,SF,28,BOS,9,9,333,69,158,.437,15,49,.306,54,109,.495,.484,44,56,.786,11,53,64,25,9,2,30,27,197,brownja02
24,Kobe Brown,PF,25,LAC,3,0,15,7,8,.875,1,1,1.000,6,7,.857,.938,1,1,1.000,0,1,1,4,0,0,0,0,16,brownko01
25,Jalen Brunson,PG,28,NYK,10,10,401,103,237,.435,29,79,.367,74,158,.468,.496,66,81,.815,10,30,40,80,5,3,27,32,301,brunsja01
26,Thomas Bryant,C,27,IND,9,0,89,5,11,.455,3,6,.500,2,5,.400,.591,5,6,.833,5,11,16,3,3,4,6,11,18,bryanth01
27,Alec Burks,SG,33,MIA,1,1,15,2,3,.667,2,3,.667,0,0,,1.000,0,0,,0,2,2,2,0,0,0,0,6,burksal01
28,Jimmy Butler,SF,35,GSW,10,10,355,64,141,.454,11,33,.333,53,108,.491,.493,55,69,.797,23,44,67,51,11,3,12,17,194,butleji01
29,Kentavious Caldwell-Pope,SG,31,ORL,5,5,163,8,30,.267,6,23,.261,2,7,.286,.367,3,4,.750,1,14,15,9,7,3,2,11,25,caldwke01
30,Vlatko Čančar,PF,27,DEN,3,0,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,2,0,0,cancavl01
